species,spcode,season.site,decade,num.nights.per.season,count,abun.class,abun.class.log,total.decade,total.count
Eudonia axena,Eudaxe,1962s,1,13,160,Common,2,177,186
Eudonia axena,Eudaxe,1987r,2,8,0,Common,2,9,186
Eudonia axena,Eudaxe,1987s,2,9,3,Common,2,9,186
Eudonia axena,Eudaxe,1988r,2,14,1,Common,2,9,186
Eudonia axena,Eudaxe,1988s,2,15,5,Common,2,9,186
Eudonia axena,Eudaxe,1989s,2,3,0,Common,2,9,186
Eudonia axena,Eudaxe,2020r,3,13,0,Common,2,0,186
Eudonia axena,Eudaxe,2020s,3,13,0,Common,2,0,186
Eudonia axena,Eudaxe,2021r,3,2,0,Common,2,0,186
Eudonia axena,Eudaxe,2021s,3,2,0,Common,2,0,186
Scoparia turneri,Scotur,1961r,1,8,1,Common,2,45,185
Scoparia turneri,Scotur,1961s,1,13,8,Common,2,45,185
Scoparia turneri,Scotur,1962r,1,9,24,Common,2,45,185
Scoparia turneri,Scotur,1962s,1,13,12,Common,2,45,185
Scoparia turneri,Scotur,1987r,2,8,0,Common,2,138,185
Scoparia turneri,Scotur,1987s,2,9,3,Common,2,138,185
Scoparia turneri,Scotur,1988r,2,14,1,Common,2,138,185
Scoparia turneri,Scotur,1988s,2,15,134,Common,2,138,185
Scoparia turneri,Scotur,1989s,2,3,0,Common,2,138,185
Scoparia turneri,Scotur,2020r,3,13,2,Common,2,2,185
Scoparia turneri,Scotur,2020s,3,13,0,Common,2,2,185
Scoparia turneri,Scotur,2021r,3,2,0,Common,2,2,185
Scoparia turneri,Scotur,2021s,3,2,0,Common,2,2,185
Orocrambus lewisi,Orolew,1961r,1,8,0,Common,2,33,136
Orocrambus lewisi,Orolew,1961s,1,13,4,Common,2,33,136
Orocrambus lewisi,Orolew,1962r,1,9,6,Common,2,33,136
Orocrambus lewisi,Orolew,1962s,1,13,23,Common,2,33,136
Orocrambus lewisi,Orolew,1987r,2,8,13,Common,2,60,136
Orocrambus lewisi,Orolew,1987s,2,9,10,Common,2,60,136
Orocrambus lewisi,Orolew,1988r,2,14,22,Common,2,60,136
Orocrambus lewisi,Orolew,1988s,2,15,15,Common,2,60,136
Orocrambus lewisi,Orolew,1989s,2,3,0,Common,2,60,136
Orocrambus lewisi,Orolew,2020r,3,13,32,Common,2,43,136
Orocrambus lewisi,Orolew,2020s,3,13,4,Common,2,43,136
Orocrambus lewisi,Orolew,2021r,3,2,7,Common,2,43,136
Orocrambus lewisi,Orolew,2021s,3,2,0,Common,2,43,136
Scoparia exilis,Scoexi,1961r,1,8,0,Common,2,114,131
Scoparia exilis,Scoexi,1961s,1,13,1,Common,2,114,131
Scoparia exilis,Scoexi,1962r,1,9,21,Common,2,114,131
Scoparia exilis,Scoexi,1962s,1,13,92,Common,2,114,131
Scoparia exilis,Scoexi,1987r,2,8,1,Common,2,16,131
Scoparia exilis,Scoexi,1987s,2,9,6,Common,2,16,131
Scoparia exilis,Scoexi,1988r,2,14,7,Common,2,16,131
Scoparia exilis,Scoexi,1988s,2,15,0,Common,2,16,131
Scoparia exilis,Scoexi,1989s,2,3,2,Common,2,16,131
Scoparia exilis,Scoexi,2020r,3,13,0,Common,2,1,131
Scoparia exilis,Scoexi,2020s,3,13,1,Common,2,1,131
Scoparia exilis,Scoexi,2021r,3,2,0,Common,2,1,131
Scoparia exilis,Scoexi,2021s,3,2,0,Common,2,1,131
Physetica phricias,Phyphr,1961r,1,8,8,Common,2,88,130
Physetica phricias,Phyphr,1961s,1,13,63,Common,2,88,130
Physetica phricias,Phyphr,1962r,1,9,4,Common,2,88,130
Physetica phricias,Phyphr,1962s,1,13,13,Common,2,88,130
Physetica phricias,Phyphr,1987r,2,8,1,Common,2,42,130
Physetica phricias,Phyphr,1987s,2,9,10,Common,2,42,130
Physetica phricias,Phyphr,1988r,2,14,10,Common,2,42,130
Physetica phricias,Phyphr,1988s,2,15,21,Common,2,42,130
Physetica phricias,Phyphr,1989s,2,3,0,Common,2,42,130
Physetica phricias,Phyphr,2020r,3,13,0,Common,2,0,130
Physetica phricias,Phyphr,2020s,3,13,0,Common,2,0,130
Physetica phricias,Phyphr,2021r,3,2,0,Common,2,0,130
Physetica phricias,Phyphr,2021s,3,2,0,Common,2,0,130
Scoparia minusculalis,Scomin,1961r,1,8,7,Common,2,106,124
Scoparia minusculalis,Scomin,1961s,1,13,74,Common,2,106,124
Scoparia minusculalis,Scomin,1962r,1,9,9,Common,2,106,124
Scoparia minusculalis,Scomin,1962s,1,13,16,Common,2,106,124
Scoparia minusculalis,Scomin,1987r,2,8,2,Common,2,12,124
Scoparia minusculalis,Scomin,1987s,2,9,1,Common,2,12,124
Scoparia minusculalis,Scomin,1988r,2,14,0,Common,2,12,124
Scoparia minusculalis,Scomin,1988s,2,15,9,Common,2,12,124
Scoparia minusculalis,Scomin,1989s,2,3,0,Common,2,12,124
Scoparia minusculalis,Scomin,2020r,3,13,0,Common,2,6,124
Scoparia minusculalis,Scomin,2020s,3,13,6,Common,2,6,124
Scoparia minusculalis,Scomin,2021r,3,2,0,Common,2,6,124
Scoparia minusculalis,Scomin,2021s,3,2,0,Common,2,6,124
Hygraula nitens,Hygnit,1961r,1,8,2,Common,1,13,97
Hygraula nitens,Hygnit,1961s,1,13,7,Common,1,13,97
Hygraula nitens,Hygnit,1962r,1,9,2,Common,1,13,97
Hygraula nitens,Hygnit,1962s,1,13,2,Common,1,13,97
Hygraula nitens,Hygnit,1987r,2,8,0,Common,1,79,97
Hygraula nitens,Hygnit,1987s,2,9,4,Common,1,79,97
Hygraula nitens,Hygnit,1988r,2,14,36,Common,1,79,97
Hygraula nitens,Hygnit,1988s,2,15,39,Common,1,79,97
Hygraula nitens,Hygnit,1989s,2,3,0,Common,1,79,97
Hygraula nitens,Hygnit,2020r,3,13,5,Common,1,5,97
Hygraula nitens,Hygnit,2020s,3,13,0,Common,1,5,97
Hygraula nitens,Hygnit,2021r,3,2,0,Common,1,5,97
Hygraula nitens,Hygnit,2021s,3,2,0,Common,1,5,97
Hydriomena deltoidata,Hyddel,1961r,1,8,8,Common,1,93,95
Hydriomena deltoidata,Hyddel,1961s,1,13,4,Common,1,93,95
Hydriomena deltoidata,Hyddel,1962r,1,9,10,Common,1,93,95
Hydriomena deltoidata,Hyddel,1962s,1,13,71,Common,1,93,95
Hydriomena deltoidata,Hyddel,1987r,2,8,0,Common,1,0,95
Hydriomena deltoidata,Hyddel,1987s,2,9,0,Common,1,0,95
Hydriomena deltoidata,Hyddel,1988r,2,14,0,Common,1,0,95
Hydriomena deltoidata,Hyddel,1988s,2,15,0,Common,1,0,95
Hydriomena deltoidata,Hyddel,1989s,2,3,0,Common,1,0,95
Hydriomena deltoidata,Hyddel,2020r,3,13,1,Common,1,2,95
Hydriomena deltoidata,Hyddel,2020s,3,13,1,Common,1,2,95
Hydriomena deltoidata,Hyddel,2021r,3,2,0,Common,1,2,95
Hydriomena deltoidata,Hyddel,2021s,3,2,0,Common,1,2,95
Eudonia philerga,Eudphi,1961r,1,8,5,Common,1,56,93
Eudonia philerga,Eudphi,1961s,1,13,16,Common,1,56,93
Eudonia philerga,Eudphi,1962r,1,9,24,Common,1,56,93
Eudonia philerga,Eudphi,1962s,1,13,11,Common,1,56,93
Eudonia philerga,Eudphi,1987r,2,8,0,Common,1,31,93
Eudonia philerga,Eudphi,1987s,2,9,6,Common,1,31,93
Eudonia philerga,Eudphi,1988r,2,14,10,Common,1,31,93
Eudonia philerga,Eudphi,1988s,2,15,15,Common,1,31,93
Eudonia philerga,Eudphi,1989s,2,3,0,Common,1,31,93
Eudonia philerga,Eudphi,2020r,3,13,1,Common,1,6,93
Eudonia philerga,Eudphi,2020s,3,13,5,Common,1,6,93
Eudonia philerga,Eudphi,2021r,3,2,0,Common,1,6,93
Eudonia philerga,Eudphi,2021s,3,2,0,Common,1,6,93
Eudonia oculata,Eudocu,1961r,1,8,1,Common,1,66,92
Eudonia oculata,Eudocu,1961s,1,13,20,Common,1,66,92
Eudonia oculata,Eudocu,1962r,1,9,6,Common,1,66,92
Eudonia oculata,Eudocu,1962s,1,13,39,Common,1,66,92
Eudonia oculata,Eudocu,1987r,2,8,1,Common,1,9,92
Eudonia oculata,Eudocu,1987s,2,9,2,Common,1,9,92
Eudonia oculata,Eudocu,1988r,2,14,0,Common,1,9,92
Eudonia oculata,Eudocu,1988s,2,15,6,Common,1,9,92
Eudonia oculata,Eudocu,1989s,2,3,0,Common,1,9,92
Eudonia oculata,Eudocu,2020r,3,13,2,Common,1,17,92
Eudonia oculata,Eudocu,2020s,3,13,14,Common,1,17,92
Eudonia oculata,Eudocu,2021r,3,2,1,Common,1,17,92
Eudonia oculata,Eudocu,2021s,3,2,0,Common,1,17,92
Physetica caerulea,Phycae,1961r,1,8,4,Common,1,72,88
Physetica caerulea,Phycae,1961s,1,13,21,Common,1,72,88
Physetica caerulea,Phycae,1962r,1,9,4,Common,1,72,88
Physetica caerulea,Phycae,1962s,1,13,43,Common,1,72,88
Physetica caerulea,Phycae,1987r,2,8,0,Common,1,14,88
Physetica caerulea,Phycae,1987s,2,9,3,Common,1,14,88
Physetica caerulea,Phycae,1988r,2,14,1,Common,1,14,88
Physetica caerulea,Phycae,1988s,2,15,8,Common,1,14,88
Physetica caerulea,Phycae,1989s,2,3,2,Common,1,14,88
Physetica caerulea,Phycae,2020r,3,13,0,Common,1,2,88
Physetica caerulea,Phycae,2020s,3,13,2,Common,1,2,88
Physetica caerulea,Phycae,2021r,3,2,0,Common,1,2,88
Physetica caerulea,Phycae,2021s,3,2,0,Common,1,2,88
Euxoa admirationis,Euxadm,1961r,1,8,0,Common,1,41,86
Euxoa admirationis,Euxadm,1961s,1,13,2,Common,1,41,86
Euxoa admirationis,Euxadm,1962r,1,9,17,Common,1,41,86
Euxoa admirationis,Euxadm,1962s,1,13,22,Common,1,41,86
Euxoa admirationis,Euxadm,1987r,2,8,0,Common,1,43,86
Euxoa admirationis,Euxadm,1987s,2,9,2,Common,1,43,86
Euxoa admirationis,Euxadm,1988r,2,14,3,Common,1,43,86
Euxoa admirationis,Euxadm,1988s,2,15,38,Common,1,43,86
Euxoa admirationis,Euxadm,1989s,2,3,0,Common,1,43,86
Euxoa admirationis,Euxadm,2020r,3,13,2,Common,1,2,86
Euxoa admirationis,Euxadm,2020s,3,13,0,Common,1,2,86
Euxoa admirationis,Euxadm,2021r,3,2,0,Common,1,2,86
Euxoa admirationis,Euxadm,2021s,3,2,0,Common,1,2,86
Eudonia chalara,Eudcha,1961r,1,8,0,Common,1,0,79
Eudonia chalara,Eudcha,1961s,1,13,0,Common,1,0,79
Eudonia chalara,Eudcha,1962r,1,9,0,Common,1,0,79
Eudonia chalara,Eudcha,1962s,1,13,0,Common,1,0,79
Eudonia chalara,Eudcha,1987r,2,8,0,Common,1,77,79
Eudonia chalara,Eudcha,1987s,2,9,36,Common,1,77,79
Eudonia chalara,Eudcha,1988r,2,14,13,Common,1,77,79
Eudonia chalara,Eudcha,1988s,2,15,27,Common,1,77,79
Eudonia chalara,Eudcha,1989s,2,3,1,Common,1,77,79
Eudonia chalara,Eudcha,2020r,3,13,1,Common,1,2,79
Eudonia chalara,Eudcha,2020s,3,13,0,Common,1,2,79
Eudonia chalara,Eudcha,2021r,3,2,0,Common,1,2,79
Eudonia chalara,Eudcha,2021s,3,2,1,Common,1,2,79
Caloptilia linearis,Callin,1961r,1,8,0,Common,1,15,75
Caloptilia linearis,Callin,1961s,1,13,0,Common,1,15,75
Caloptilia linearis,Callin,1962r,1,9,1,Common,1,15,75
Caloptilia linearis,Callin,1962s,1,13,14,Common,1,15,75
Caloptilia linearis,Callin,1987r,2,8,0,Common,1,60,75
Caloptilia linearis,Callin,1987s,2,9,0,Common,1,60,75
Caloptilia linearis,Callin,1988r,2,14,36,Common,1,60,75
Caloptilia linearis,Callin,1988s,2,15,3,Common,1,60,75
Caloptilia linearis,Callin,1989s,2,3,21,Common,1,60,75
Caloptilia linearis,Callin,2020r,3,13,0,Common,1,0,75
Caloptilia linearis,Callin,2020s,3,13,0,Common,1,0,75
Caloptilia linearis,Callin,2021r,3,2,0,Common,1,0,75
Caloptilia linearis,Callin,2021s,3,2,0,Common,1,0,75
Eudonia trivirgata,Eudtri,1961r,1,8,0,Common,1,45,64
Leucoptera spartifoliella,Leuspa,1961r,1,8,0,Common,1,0,64
Eudonia trivirgata,Eudtri,1961s,1,13,1,Common,1,45,64
Leucoptera spartifoliella,Leuspa,1961s,1,13,0,Common,1,0,64
Eudonia trivirgata,Eudtri,1962r,1,9,14,Common,1,45,64
Leucoptera spartifoliella,Leuspa,1962r,1,9,0,Common,1,0,64
Eudonia trivirgata,Eudtri,1962s,1,13,30,Common,1,45,64
Leucoptera spartifoliella,Leuspa,1962s,1,13,0,Common,1,0,64
Eudonia trivirgata,Eudtri,1987r,2,8,0,Common,1,19,64
Leucoptera spartifoliella,Leuspa,1987r,2,8,0,Common,1,64,64
Eudonia trivirgata,Eudtri,1987s,2,9,3,Common,1,19,64
Leucoptera spartifoliella,Leuspa,1987s,2,9,0,Common,1,64,64
Eudonia trivirgata,Eudtri,1988r,2,14,6,Common,1,19,64
Leucoptera spartifoliella,Leuspa,1988r,2,14,63,Common,1,64,64
Eudonia trivirgata,Eudtri,1988s,2,15,3,Common,1,19,64
Leucoptera spartifoliella,Leuspa,1988s,2,15,1,Common,1,64,64
Eudonia trivirgata,Eudtri,1989s,2,3,7,Common,1,19,64
Leucoptera spartifoliella,Leuspa,1989s,2,3,0,Common,1,64,64
Eudonia trivirgata,Eudtri,2020r,3,13,0,Common,1,0,64
Leucoptera spartifoliella,Leuspa,2020r,3,13,0,Common,1,0,64
Eudonia trivirgata,Eudtri,2020s,3,13,0,Common,1,0,64
Leucoptera spartifoliella,Leuspa,2020s,3,13,0,Common,1,0,64
Eudonia trivirgata,Eudtri,2021r,3,2,0,Common,1,0,64
Leucoptera spartifoliella,Leuspa,2021r,3,2,0,Common,1,0,64
Eudonia trivirgata,Eudtri,2021s,3,2,0,Common,1,0,64
Leucoptera spartifoliella,Leuspa,2021s,3,2,0,Common,1,0,64
Asaphodes clarata,Asacla,1961r,1,8,0,Common,1,61,62
Asaphodes clarata,Asacla,1961s,1,13,30,Common,1,61,62
Asaphodes clarata,Asacla,1962r,1,9,1,Common,1,61,62
Asaphodes clarata,Asacla,1962s,1,13,30,Common,1,61,62
Asaphodes clarata,Asacla,1987r,2,8,0,Common,1,0,62
Asaphodes clarata,Asacla,1987s,2,9,0,Common,1,0,62
Asaphodes clarata,Asacla,1988r,2,14,0,Common,1,0,62
Asaphodes clarata,Asacla,1988s,2,15,0,Common,1,0,62
Asaphodes clarata,Asacla,1989s,2,3,0,Common,1,0,62
Asaphodes clarata,Asacla,2020r,3,13,1,Common,1,1,62
Asaphodes clarata,Asacla,2020s,3,13,0,Common,1,1,62
Asaphodes clarata,Asacla,2021r,3,2,0,Common,1,1,62
Asaphodes clarata,Asacla,2021s,3,2,0,Common,1,1,62
Coleophora mayrella,Colmay,1961r,1,8,0,Common,1,6,61
Coleophora mayrella,Colmay,1961s,1,13,0,Common,1,6,61
Coleophora mayrella,Colmay,1962r,1,9,5,Common,1,6,61
Coleophora mayrella,Colmay,1962s,1,13,1,Common,1,6,61
Coleophora mayrella,Colmay,1987r,2,8,0,Common,1,55,61
Coleophora mayrella,Colmay,1987s,2,9,1,Common,1,55,61
Coleophora mayrella,Colmay,1988r,2,14,44,Common,1,55,61
Coleophora mayrella,Colmay,1988s,2,15,10,Common,1,55,61
Coleophora mayrella,Colmay,1989s,2,3,0,Common,1,55,61
Coleophora mayrella,Colmay,2020r,3,13,0,Common,1,0,61
Coleophora mayrella,Colmay,2020s,3,13,0,Common,1,0,61
Coleophora mayrella,Colmay,2021r,3,2,0,Common,1,0,61
Coleophora mayrella,Colmay,2021s,3,2,0,Common,1,0,61
Harmologa oblongana,Harobl,1961r,1,8,0,Common,1,0,56
Zermizinga indocilisaria,Zerind,1961r,1,8,1,Common,1,55,56
Harmologa oblongana,Harobl,1961s,1,13,0,Common,1,0,56
Zermizinga indocilisaria,Zerind,1961s,1,13,10,Common,1,55,56
Harmologa oblongana,Harobl,1962r,1,9,0,Common,1,0,56
Zermizinga indocilisaria,Zerind,1962r,1,9,12,Common,1,55,56
Harmologa oblongana,Harobl,1962s,1,13,0,Common,1,0,56
Zermizinga indocilisaria,Zerind,1962s,1,13,32,Common,1,55,56
Harmologa oblongana,Harobl,1987r,2,8,7,Common,1,40,56
Zermizinga indocilisaria,Zerind,1987r,2,8,0,Common,1,1,56
Harmologa oblongana,Harobl,1987s,2,9,20,Common,1,40,56
Zermizinga indocilisaria,Zerind,1987s,2,9,0,Common,1,1,56
Harmologa oblongana,Harobl,1988r,2,14,5,Common,1,40,56
Zermizinga indocilisaria,Zerind,1988r,2,14,1,Common,1,1,56
Harmologa oblongana,Harobl,1988s,2,15,8,Common,1,40,56
Zermizinga indocilisaria,Zerind,1988s,2,15,0,Common,1,1,56
Harmologa oblongana,Harobl,1989s,2,3,0,Common,1,40,56
Zermizinga indocilisaria,Zerind,1989s,2,3,0,Common,1,1,56
Harmologa oblongana,Harobl,2020r,3,13,0,Common,1,16,56
Zermizinga indocilisaria,Zerind,2020r,3,13,0,Common,1,0,56
Harmologa oblongana,Harobl,2020s,3,13,16,Common,1,16,56
Zermizinga indocilisaria,Zerind,2020s,3,13,0,Common,1,0,56
Harmologa oblongana,Harobl,2021r,3,2,0,Common,1,16,56
Zermizinga indocilisaria,Zerind,2021r,3,2,0,Common,1,0,56
Harmologa oblongana,Harobl,2021s,3,2,0,Common,1,16,56
Zermizinga indocilisaria,Zerind,2021s,3,2,0,Common,1,0,56
Declana junctilinea,Decjun,1961r,1,8,6,Common,1,26,52
Declana junctilinea,Decjun,1961s,1,13,8,Common,1,26,52
Declana junctilinea,Decjun,1962r,1,9,1,Common,1,26,52
Declana junctilinea,Decjun,1962s,1,13,11,Common,1,26,52
Declana junctilinea,Decjun,1987r,2,8,4,Common,1,12,52
Declana junctilinea,Decjun,1987s,2,9,2,Common,1,12,52
Declana junctilinea,Decjun,1988r,2,14,3,Common,1,12,52
Declana junctilinea,Decjun,1988s,2,15,3,Common,1,12,52
Declana junctilinea,Decjun,1989s,2,3,0,Common,1,12,52
Declana junctilinea,Decjun,2020r,3,13,4,Common,1,14,52
Declana junctilinea,Decjun,2020s,3,13,10,Common,1,14,52
Declana junctilinea,Decjun,2021r,3,2,0,Common,1,14,52
Declana junctilinea,Decjun,2021s,3,2,0,Common,1,14,52
Caloptilia elaeas,Calela,1961r,1,8,0,Common,1,7,49
Mnesictena flavidalis,Mnefla,1961r,1,8,7,Common,1,41,49
Caloptilia elaeas,Calela,1961s,1,13,1,Common,1,7,49
Mnesictena flavidalis,Mnefla,1961s,1,13,11,Common,1,41,49
Caloptilia elaeas,Calela,1962r,1,9,0,Common,1,7,49
Mnesictena flavidalis,Mnefla,1962r,1,9,16,Common,1,41,49
Caloptilia elaeas,Calela,1962s,1,13,6,Common,1,7,49
Mnesictena flavidalis,Mnefla,1962s,1,13,7,Common,1,41,49
Caloptilia elaeas,Calela,1987r,2,8,0,Common,1,42,49
Mnesictena flavidalis,Mnefla,1987r,2,8,1,Common,1,7,49
Caloptilia elaeas,Calela,1987s,2,9,0,Common,1,42,49
Mnesictena flavidalis,Mnefla,1987s,2,9,0,Common,1,7,49
Caloptilia elaeas,Calela,1988r,2,14,39,Common,1,42,49
Mnesictena flavidalis,Mnefla,1988r,2,14,1,Common,1,7,49
Caloptilia elaeas,Calela,1988s,2,15,1,Common,1,42,49
Mnesictena flavidalis,Mnefla,1988s,2,15,5,Common,1,7,49
Caloptilia elaeas,Calela,1989s,2,3,2,Common,1,42,49
Mnesictena flavidalis,Mnefla,1989s,2,3,0,Common,1,7,49
Caloptilia elaeas,Calela,2020r,3,13,0,Common,1,0,49
Mnesictena flavidalis,Mnefla,2020r,3,13,0,Common,1,1,49
Caloptilia elaeas,Calela,2020s,3,13,0,Common,1,0,49
Mnesictena flavidalis,Mnefla,2020s,3,13,1,Common,1,1,49
Caloptilia elaeas,Calela,2021r,3,2,0,Common,1,0,49
Mnesictena flavidalis,Mnefla,2021r,3,2,0,Common,1,1,49
Caloptilia elaeas,Calela,2021s,3,2,0,Common,1,0,49
Mnesictena flavidalis,Mnefla,2021s,3,2,0,Common,1,1,49
Proteuxoa tetronycha,Protet,1961r,1,8,0,Common,1,3,48
Proteuxoa tetronycha,Protet,1961s,1,13,1,Common,1,3,48
Proteuxoa tetronycha,Protet,1962r,1,9,1,Common,1,3,48
Proteuxoa tetronycha,Protet,1962s,1,13,1,Common,1,3,48
Proteuxoa tetronycha,Protet,1987r,2,8,1,Common,1,36,48
Proteuxoa tetronycha,Protet,1987s,2,9,3,Common,1,36,48
Proteuxoa tetronycha,Protet,1988r,2,14,5,Common,1,36,48
Proteuxoa tetronycha,Protet,1988s,2,15,27,Common,1,36,48
Proteuxoa tetronycha,Protet,1989s,2,3,0,Common,1,36,48
Proteuxoa tetronycha,Protet,2020r,3,13,8,Common,1,9,48
Proteuxoa tetronycha,Protet,2020s,3,13,1,Common,1,9,48
Proteuxoa tetronycha,Protet,2021r,3,2,0,Common,1,9,48
Proteuxoa tetronycha,Protet,2021s,3,2,0,Common,1,9,48
Ichneutica paracausta,Ichpar,1961r,1,8,0,Common,1,6,42
Ichneutica paracausta,Ichpar,1961s,1,13,0,Common,1,6,42
Ichneutica paracausta,Ichpar,1962r,1,9,3,Common,1,6,42
Ichneutica paracausta,Ichpar,1962s,1,13,3,Common,1,6,42
Ichneutica paracausta,Ichpar,1987r,2,8,0,Common,1,31,42
Ichneutica paracausta,Ichpar,1987s,2,9,4,Common,1,31,42
Ichneutica paracausta,Ichpar,1988r,2,14,4,Common,1,31,42
Ichneutica paracausta,Ichpar,1988s,2,15,4,Common,1,31,42
Ichneutica paracausta,Ichpar,1989s,2,3,19,Common,1,31,42
Ichneutica paracausta,Ichpar,2020r,3,13,0,Common,1,5,42
Ichneutica paracausta,Ichpar,2020s,3,13,0,Common,1,5,42
Ichneutica paracausta,Ichpar,2021r,3,2,0,Common,1,5,42
Ichneutica paracausta,Ichpar,2021s,3,2,5,Common,1,5,42
Physetica homoscia,Phyhom,1961r,1,8,1,Common,1,26,40
Physetica homoscia,Phyhom,1961s,1,13,19,Common,1,26,40
Physetica homoscia,Phyhom,1962r,1,9,0,Common,1,26,40
Physetica homoscia,Phyhom,1962s,1,13,6,Common,1,26,40
Physetica homoscia,Phyhom,1987r,2,8,0,Common,1,14,40
Physetica homoscia,Phyhom,1987s,2,9,0,Common,1,14,40
Physetica homoscia,Phyhom,1988r,2,14,10,Common,1,14,40
Physetica homoscia,Phyhom,1988s,2,15,3,Common,1,14,40
Physetica homoscia,Phyhom,1989s,2,3,1,Common,1,14,40
Physetica homoscia,Phyhom,2020r,3,13,0,Common,1,0,40
Physetica homoscia,Phyhom,2020s,3,13,0,Common,1,0,40
Physetica homoscia,Phyhom,2021r,3,2,0,Common,1,0,40
Physetica homoscia,Phyhom,2021s,3,2,0,Common,1,0,40
Kiwaia lithodes,Kiwlit,1961r,1,8,0,Common,1,25,39
Kiwaia lithodes,Kiwlit,1961s,1,13,0,Common,1,25,39
Kiwaia lithodes,Kiwlit,1962r,1,9,13,Common,1,25,39
Kiwaia lithodes,Kiwlit,1962s,1,13,12,Common,1,25,39
Kiwaia lithodes,Kiwlit,1987r,2,8,2,Common,1,14,39
Kiwaia lithodes,Kiwlit,1987s,2,9,6,Common,1,14,39
Kiwaia lithodes,Kiwlit,1988r,2,14,2,Common,1,14,39
Kiwaia lithodes,Kiwlit,1988s,2,15,4,Common,1,14,39
Kiwaia lithodes,Kiwlit,1989s,2,3,0,Common,1,14,39
Kiwaia lithodes,Kiwlit,2020r,3,13,0,Common,1,0,39
Kiwaia lithodes,Kiwlit,2020s,3,13,0,Common,1,0,39
Kiwaia lithodes,Kiwlit,2021r,3,2,0,Common,1,0,39
Kiwaia lithodes,Kiwlit,2021s,3,2,0,Common,1,0,39
Orocrambus lectus,Orolec,1961r,1,8,0,Common,1,1,38
Orocrambus lectus,Orolec,1961s,1,13,1,Common,1,1,38
Orocrambus lectus,Orolec,1962r,1,9,0,Common,1,1,38
Orocrambus lectus,Orolec,1962s,1,13,0,Common,1,1,38
Orocrambus lectus,Orolec,1987r,2,8,3,Common,1,37,38
Orocrambus lectus,Orolec,1987s,2,9,7,Common,1,37,38
Orocrambus lectus,Orolec,1988r,2,14,2,Common,1,37,38
Orocrambus lectus,Orolec,1988s,2,15,25,Common,1,37,38
Orocrambus lectus,Orolec,1989s,2,3,0,Common,1,37,38
Orocrambus lectus,Orolec,2020r,3,13,0,Common,1,0,38
Orocrambus lectus,Orolec,2020s,3,13,0,Common,1,0,38
Orocrambus lectus,Orolec,2021r,3,2,0,Common,1,0,38
Orocrambus lectus,Orolec,2021s,3,2,0,Common,1,0,38
Orocrambus enchophorus,Oroenc,1961r,1,8,10,Common,1,33,36
Orocrambus enchophorus,Oroenc,1961s,1,13,9,Common,1,33,36
Orocrambus enchophorus,Oroenc,1962r,1,9,6,Common,1,33,36
Orocrambus enchophorus,Oroenc,1962s,1,13,8,Common,1,33,36
Orocrambus enchophorus,Oroenc,1987r,2,8,0,Common,1,3,36
Orocrambus enchophorus,Oroenc,1987s,2,9,0,Common,1,3,36
Orocrambus enchophorus,Oroenc,1988r,2,14,1,Common,1,3,36
Orocrambus enchophorus,Oroenc,1988s,2,15,2,Common,1,3,36
Orocrambus enchophorus,Oroenc,1989s,2,3,0,Common,1,3,36
Orocrambus enchophorus,Oroenc,2020r,3,13,0,Common,1,0,36
Orocrambus enchophorus,Oroenc,2020s,3,13,0,Common,1,0,36
Orocrambus enchophorus,Oroenc,2021r,3,2,0,Common,1,0,36
Orocrambus enchophorus,Oroenc,2021s,3,2,0,Common,1,0,36
Epyaxa rosearia,Epyros,1961r,1,8,2,Common,1,26,33
Epyaxa rosearia,Epyros,1961s,1,13,7,Common,1,26,33
Epyaxa rosearia,Epyros,1962r,1,9,3,Common,1,26,33
Epyaxa rosearia,Epyros,1962s,1,13,14,Common,1,26,33
Epyaxa rosearia,Epyros,1987r,2,8,0,Common,1,5,33
Epyaxa rosearia,Epyros,1987s,2,9,0,Common,1,5,33
Epyaxa rosearia,Epyros,1988r,2,14,2,Common,1,5,33
Epyaxa rosearia,Epyros,1988s,2,15,3,Common,1,5,33
Epyaxa rosearia,Epyros,1989s,2,3,0,Common,1,5,33
Epyaxa rosearia,Epyros,2020r,3,13,0,Common,1,2,33
Epyaxa rosearia,Epyros,2020s,3,13,1,Common,1,2,33
Epyaxa rosearia,Epyros,2021r,3,2,0,Common,1,2,33
Epyaxa rosearia,Epyros,2021s,3,2,1,Common,1,2,33
Ichneutica cuneata,Ichcun,1961r,1,8,3,Common,1,16,32
Ichneutica cuneata,Ichcun,1961s,1,13,12,Common,1,16,32
Ichneutica cuneata,Ichcun,1962r,1,9,0,Common,1,16,32
Ichneutica cuneata,Ichcun,1962s,1,13,1,Common,1,16,32
Ichneutica cuneata,Ichcun,1987r,2,8,0,Common,1,0,32
Ichneutica cuneata,Ichcun,1987s,2,9,0,Common,1,0,32
Ichneutica cuneata,Ichcun,1988r,2,14,0,Common,1,0,32
Ichneutica cuneata,Ichcun,1988s,2,15,0,Common,1,0,32
Ichneutica cuneata,Ichcun,1989s,2,3,0,Common,1,0,32
Ichneutica cuneata,Ichcun,2020r,3,13,12,Common,1,16,32
Ichneutica cuneata,Ichcun,2020s,3,13,4,Common,1,16,32
Ichneutica cuneata,Ichcun,2021r,3,2,0,Common,1,16,32
Ichneutica cuneata,Ichcun,2021s,3,2,0,Common,1,16,32
